compounds,name,maxFlux
cpd00001,H2O,1000
cpd00067,H+,1000
cpd00009,Phosphate,10
cpd00013,NH3,10
cpd00048,Sulfate,5
cpd00971,Na+,10
cpd00063,Ca2+,5
cpd00205,K+,10
cpd00099,Cl-,10
cpd00058,Cu2+,0.1
cpd10515,Fe2+,1
cpd10516,Fe3+,0.5
cpd00254,Mg2+,5
cpd00030,Mn2+,1
cpd00034,Zn2+,1
cpd00149,Co2+,0.1
cpd00244,Ni2+,0.1
cpd11574,Molybdate,0.1
cpd00011,CO2,5
cpd00122,N-Acetyl-D-glucosamine,10
cpd00751,L-Fucose,5
cpd00161,L-Threonine,2
cpd00084,L-Cysteine,2
cpd00644,Pantothenate,1
cpd00218,Nicotinic acid,1
cpd00220,Riboflavin,1
cpd00305,Thiamine,1
cpd00104,Biotin,1
cpd00263,Pyridoxine,1
cpd00635,Cobalamin,1
