compounds,name,maxFlux
cpd00001,H2O,1000
cpd00067,H+,1000
cpd00009,Phosphate,10
cpd00013,NH3,10
cpd00048,Sulfate,5
cpd00971,Na+,10
cpd00063,Ca2+,5
cpd00205,K+,10
cpd00099,Cl-,10
cpd00058,Cu2+,0.1
cpd10515,Fe2+,1
cpd10516,Fe3+,0.5
cpd00254,Mg2+,5
cpd00030,Mn2+,1
cpd00034,Zn2+,1
cpd00149,Co2+,0.1
cpd00244,Ni2+,0.1
cpd11574,Molybdate,0.1
cpd00011,CO2,5
cpd00305,Thiamine,1
cpd00220,Riboflavin,1
cpd00218,Nicotinic acid,1
cpd00644,Pantothenate,1
cpd00263,Pyridoxine,1
cpd00104,Biotin,1
cpd00393,Folate,1
cpd00635,Cobalamin,1
cpd00084,L-Cysteine,2
cpd00161,L-Threonine,2
cpd00033,Glycine,2
cpd00035,L-Alanine,2
cpd00054,L-Serine,2
cpd00051,L-Arginine,2
cpd00322,L-Isoleucine,2
cpd00107,L-Leucine,2
cpd00039,L-Lysine,2
cpd00119,L-Histidine,2
cpd00132,L-Asparagine,2
cpd00041,L-Aspartate,2
cpd00023,L-Glutamate,2
cpd00060,L-Methionine,2
cpd00053,L-Glutamine,2
cpd00129,L-Proline,2
cpd00156,L-Valine,2
cpd00066,L-Phenylalanine,2
cpd00069,L-Tyrosine,2
cpd00065,L-Tryptophan,2
cpd00064,Ornithine,1
cpd00214,Palmitate,1
cpd00536,Oleate,1
cpd30347,Linoleic acid,0.5
cpd30350,alpha-Linolenic acid,0.5
cpd00188,Arachidonate,0.5
cpd01080,Octadecanoate,0.5
cpd03846,Octanoate,0.5
cpd03847,Myristic acid,0.5
cpd01260,Lauroyl-CoA,0.5
cpd05274,Palmitoleic acid,0.5
cpd00160,Cholesterol,0.5
cpd00100,Glycerol,2
cpd00226,Hypoxanthine,1
cpd00128,Adenine,1
cpd00092,Uracil,1
cpd00182,Adenosine,1
cpd00029,Acetate,1
cpd00047,Formate,2
cpd00080,Glycerol-3-phosphate,1
cpd00106,Fumarate,2
cpd00137,Citrate,1
cpd00180,Oxalate,1
cpd00118,Putrescine,1
cpd00264,Spermidine,1
cpd00028,Heme,0.5
cpd00239,H2S,1
cpd01078,Selenide,0.01
cpd11640,H2,10
cpd00122,N-Acetyl-D-glucosamine,5.0
cpd00232,N-Acetylneuraminate,2.0
cpd00276,D-Glucosamine,2.0
cpd00492,N-Acetyl-D-mannosamine,2.0
cpd00751,L-Fucose,2.0
cpd00082,D-Fructose,2.0
cpd00076,Sucrose,1.0
cpd01178,Inulobiose,1.5
cpd04349,Lactulose,1.5
cpd00208,Lactose,1.5
cpd00108,D-Galactose,1.5
cpd00154,D-Xylose,1.5
cpd00224,L-Arabinose,1.5
cpd05262,galacturonate,1.5
cpd00396,L-Rhamnose,1.0
cpd00027,D-Glucose,2.0
cpd00179,Maltose,1.5
cpd11976,Maltodextrin,1.0
cpd00158,Cellobiose,1.5
